MAPI_DEFAULT_PROFILE 0x3D04
MAPI_AB_SEARCH_PATH 0x3D05
MAPI_AB_DEFAULT_DIR 0x3D06
MAPI_AB_DEFAULT_PAB 0x3D07
MAPI_FILTERING_HOOKS 0x3D08
MAPI_SERVICE_NAME 0x3D09
MAPI_SERVICE_DLL_NAME 0x3D0A
MAPI_SERVICE_ENTRY_NAME 0x3D0B
MAPI_SERVICE_UID 0x3D0C
MAPI_SERVICE_EXTRA_UIDS 0x3D0D
MAPI_SERVICES 0x3D0E
MAPI_SERVICE_SUPPORT_FILES 0x3D0F
MAPI_SERVICE_DELETE_FILES 0x3D10
MAPI_AB_SEARCH_PATH_UPDATE 0x3D11
MAPI_PROFILE_NAME 0x3D12
MAPI_IDENTITY_DISPLAY 0x3E00
MAPI_IDENTITY_ENTRYID 0x3E01
MAPI_RESOURCE_METHODS 0x3E02
MAPI_RESOURCE_TYPE 0x3E03
MAPI_STATUS_CODE 0x3E04
MAPI_IDENTITY_SEARCH_KEY 0x3E05
MAPI_OWN_STORE_ENTRYID 0x3E06
MAPI_RESOURCE_PATH 0x3E07
MAPI_STATUS_STRING 0x3E08
MAPI_X400_DEFERRED_DELIVERY_CANCEL 0x3E09
MAPI_HEADER_FOLDER_ENTRYID 0x3E0A
MAPI_REMOTE_PROGRESS 0x3E0B
MAPI_REMOTE_PROGRESS_TEXT 0x3E0C
MAPI_REMOTE_VALIDATE_OK 0x3E0D
MAPI_CONTROL_FLAGS 0x3F00
MAPI_CONTROL_STRUCTURE 0x3F01
MAPI_CONTROL_TYPE 0x3F02
MAPI_DELTAX 0x3F03
MAPI_DELTAY 0x3F04
MAPI_XPOS 0x3F05
MAPI_YPOS 0x3F06
MAPI_CONTROL_ID 0x3F07
MAPI_INITIAL_DETAILS_PANE 0x3F08
MAPI_UNCOMPRESSED_BODY 0x3FD9
MAPI_INTERNET_CODEPAGE 0x3FDE
MAPI_AUTO_RESPONSE_SUPPRESS 0x3FDF
MAPI_MESSAGE_LOCALE_ID 0x3FF1
MAPI_RULE_TRIGGER_HISTORY 0x3FF2
MAPI_MOVE_TO_STORE_ENTRYID 0x3FF3
MAPI_MOVE_TO_FOLDER_ENTRYID 0x3FF4
MAPI_STORAGE_QUOTA_LIMIT 0x3FF5
MAPI_EXCESS_STORAGE_USED 0x3FF6
MAPI_SVR_GENERATING_QUOTA_MSG 0x3FF7
MAPI_CREATOR_NAME 0x3FF8
MAPI_CREATOR_ENTRY_ID 0x3FF9
MAPI_LAST_MODIFIER_NAME 0x3FFA
MAPI_LAST_MODIFIER_ENTRY_ID 0x3FFB
MAPI_REPLY_RECIPIENT_SMTP_PROXIES 0x3FFC
MAPI_MESSAGE_CODEPAGE 0x3FFD
MAPI_EXTENDED_ACL_DATA 0x3FFE
MAPI_SENDER_FLAGS 0x4019
MAPI_SENT_REPRESENTING_FLAGS 0x401A
MAPI_RECEIVED_BY_FLAGS 0x401B
MAPI_RECEIVED_REPRESENTING_FLAGS 0x401C
MAPI_CREATOR_ADDRESS_TYPE 0x4022
MAPI_CREATOR_EMAIL_ADDRESS 0x4023
MAPI_SENDER_SIMPLE_DISPLAY_NAME 0x4030
MAPI_SENT_REPRESENTING_SIMPLE_DISPLAY_NAME 0x4031
MAPI_RECEIVED_REPRESENTING_SIMPLE_DISPLAY_NAME 0x4035
MAPI_CREATOR_SIMPLE_DISP_NAME 0x4038
MAPI_LAST_MODIFIER_SIMPLE_DISPLAY_NAME 0x4039
MAPI_CONTENT_FILTER_SPAM_CONFIDENCE_LEVEL 0x4076
MAPI_INTERNET_MAIL_OVERRIDE_FORMAT 0x5902
MAPI_MESSAGE_EDITOR_FORMAT 0x5909
MAPI_SENDER_SMTP_ADDRESS 0x5D01
MAPI_SENT_REPRESENTING_SMTP_ADDRESS 0x5D02
MAPI_READ_RECEIPT_SMTP_ADDRESS 0x5D05
MAPI_RECEIVED_BY_SMTP_ADDRESS 0x5D07
MAPI_RECEIVED_REPRESENTING_SMTP_ADDRESS 0x5D08
MAPI_SENDING_SMTP_ADDRESS 0x5D09
MAPI_SIP_ADDRESS 0x5FE5
MAPI_RECIPIENT_DISPLAY_NAME 0x5FF6
MAPI_RECIPIENT_ENTRYID 0x5FF7
MAPI_RECIPIENT_FLAGS 0x5FFD
MAPI_RECIPIENT_TRACKSTATUS 0x5FFF
MAPI_CHANGE_KEY 0x65E2
MAPI_PREDECESSOR_CHANGE_LIST 0x65E3
MAPI_ID_SECURE_MIN 0x67F0
MAPI_ID_SECURE_MAX 0x67FF
MAPI_VOICE_MESSAGE_DURATION 0x6801
MAPI_SENDER_TELEPHONE_NUMBER 0x6802
